"longitude";"latitude";"delivery_company_id";"id"
"37.772395";"44.719230";"10";"1032"
"104.335660";"52.265194";"10";"1139"
"30.437994";"59.932681";"10";"890"
"135.106630";"48.451896";"10";"1149"
"39.517480";"52.602310";"10";"930"
"";"";"13";"2466"
"";"";"13";"3901"
"37.883529";"55.711297";"10";"781"
"49.132892";"55.825789";"10";"1184"
"37.623349";"55.761651";"10";"833"
"37.435692";"55.825916";"10";"835"
"49.148200";"55.760323";"10";"1153"
"158.588120";"53.070671";"10";"1185"
"41.104829";"44.993044";"10";"1036"
"";"";"13";"2488"
"";"";"13";"3922"
"";"";"13";"3918"
"";"";"12";"5138"
"44.005986";"56.326887";"12";"7553"
"";"";"13";"3920"
"44.005986";"56.326887";"12";"1990"
"131.957066";"43.806918";"12";"5068"
"";"";"12";"1231"
"";"";"12";"1851"
"";"";"1";"704"
"43.602005";"56.504556";"12";"5947"
"61.459714";"57.011666";"1";"5477"
"59.977628";"57.917440";"12";"5108"
"59.952412";"56.904978";"12";"1928"
"59.983386";"57.906003";"12";"1883"
"55.995770";"54.728310";"10";"1156"
"44.005986";"56.326887";"12";"5468"
"43.602005";"56.504556";"12";"5945"
"";"";"1";"708"
"60.605838";"56.775265";"10";"1092"
"49.148053";"55.826338";"10";"1183"
"39.731667";"43.599142";"10";"1188"
"36.618421";"55.095490";"10";"1972"
"47.899878";"56.634407";"12";"1865"
"46.640400";"61.239100";"12";"1988"
"36.106727";"52.983131";"10";"966"
"37.493499";"55.867022";"10";"837"
"37.826223";"55.817062";"10";"746"
"43.982213";"56.305570";"10";"920"
"49.668023";"58.603581";"12";"1224"
"";"";"12";"1235"
"37.405501";"55.767111";"10";"1171"
"37.605912";"55.713652";"10";"808"
"40.425605";"56.135721";"10";"949"
"37.530014";"55.536368";"10";"825"
"59.942037";"56.901582";"1";"714"
"58.475214";"51.229345";"12";"1949"
"";"";"1";"716"
"37.601143";"55.785952";"10";"747"
"55.958727";"54.735147";"12";"1213"
"37.582196";"55.726533";"1";"7604"
"";"";"13";"2701"
"46.013716";"51.527784";"10";"1057"
"";"";"12";"1788"
"";"";"13";"3937"
"56.026918";"54.741410";"1";"7556"
